AAPL,Apple Inc. Common Stock,"2,871,919,968,596",$165.65 ,5.0994
MSFT,Microsoft Corporation Common Stock,"2,619,196,517,792",$348.86 ,5.745
GOOG,Alphabet Inc. Class C Capital Stock,"1,986,307,114,405","$2,992.49 ",-6.56
GOOGL,Alphabet Inc. Class A Common Stock,"1,973,177,862,604","$2,972.71 ",-5.82
AMZN,"Amazon.com, Inc. Common Stock","1,844,397,000,154","$3,636.81 ",-39.765
TSLA,"Tesla, Inc. Common Stock","1,193,679,245,736","$1,188.61 ",51.55
FB,"Meta Platforms, Inc. Class A Common Stock","993,797,797,712",$352.48 ,7.18
NVDA,NVIDIA Corporation Common Stock,"854,866,500,000",$341.95 ,12.0966
ADI,"Analog Devices, Inc. Common Stock","410,818,318,259",$191.11 ,2.31
ASML,ASML Holding N.V. New York Registry Shares,"353,446,058,663",$855.12 ,-2.05
ADBE,Adobe Inc. Common Stock,"330,181,410,000",$693.95 ,5.58
NTES,"NetEase, Inc. American Depositary Shares","309,832,037,873",$115.44 ,-0.11
NFLX,"Netflix, Inc. Common Stock","299,008,234,277",$675.04 ,-3.765
COST,Costco Wholesale Corporation Common Stock,"238,505,329,654",$539.82 ,6.03
CMCSA,Comcast Corporation Class A Common Stock,"237,035,727,575",$51.88 ,-0.03
AVGO,Broadcom Inc. Common Stock,"234,703,607,418",$570.20 ,1.48
CSCO,"Cisco Systems, Inc. Common Stock (DE)","230,472,231,349",$54.65 ,1.395
PEP,"PepsiCo, Inc. Common Stock","227,680,907,063",$164.67 ,0.8596
PYPL,"PayPal Holdings, Inc. Common Stock","222,802,008,516",$189.63 ,-3.98
QCOM,QUALCOMM Incorporated Common Stock,"209,865,600,000",$187.38 ,2.38
INTC,Intel Corporation Common Stock,"204,604,669,500",$50.31 ,0.7885
AMD,"Advanced Micro Devices, Inc. Common Stock","194,980,904,825",$161.46 ,6.0501
INTU,Intuit Inc. Common Stock,"194,826,754,273",$687.48 ,-4.86
TXN,Texas Instruments Incorporated Common Stock,"181,343,574,589",$196.36 ,1.2
HON,Honeywell International Inc. Common Stock,"151,384,212,203",$219.90 ,1.41
TMUS,"T-Mobile US, Inc. Common Stock","143,453,797,806",$114.85 ,-0.77
CHTR,"Charter Communications, Inc. Class A Common Stock New","140,132,596,142",$683.91 ,1.57
JD,"JD.com, Inc. American Depositary Shares","139,321,522,560",$89.76 ,-1.79
AMAT,"Applied Materials, Inc. Common Stock","136,888,475,243",$151.61 ,1.575
SBUX,Starbucks Corporation Common Stock,"131,747,000,000",$111.65 ,0.87
ISRG,"Intuitive Surgical, Inc. Common Stock","122,748,371,624",$343.61 ,-5.045
AMGN,Amgen Inc. Common Stock,"114,342,978,106",$203.00 ,-3.08
MRNA,"Moderna, Inc. Common Stock","110,562,031,518",$272.69 ,8.91
